NOME,SIMBOLO_NOMEACAO,TITULO_PORTARIA,DATA_PORTARIA,LINK_PORTARIA
odjair nascimento baena,102.4,"PORTARIA Nº 133, DE 17 DE JANEIRO DE 2019",18/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=18/01/2019&jornal=529&pagina=8
murilo resende ferreira,102.4,"PORTARIA Nº 123,  DE 17 DE JANEIRO DE 2019",18/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=18/01/2019&jornal=529&pagina=18
mariana pescatori candido da silva,102.4,"PORTARIA Nº 80, DE 17 DE JANEIRO DE 2019",18/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=18/01/2019&jornal=529&pagina=31
rafael vitale rodrigues,101.4,PORTARIAS DE 17 DE JANEIRO DE 2019,18/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=18/01/2019&jornal=529&pagina=31
paula roberta de moraes baratella,102.3,PORTARIAS DE 17 DE JANEIRO DE 2019,18/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=18/01/2019&jornal=529&pagina=31
soraya affonso pereira,102.1,PORTARIAS DE 17 DE JANEIRO DE 2019,18/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=18/01/2019&jornal=529&pagina=31
débora miranda gonçalves,101.1,PORTARIAS DE 17 DE JANEIRO DE 2018,18/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=18/01/2019&jornal=529&pagina=18
thiago ferreira de araújo,102.3,"PORTARIA Nº 192, DE 17 DE JANEIRO DE 2019",18/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=18/01/2019&jornal=529&pagina=6
eurides branquinho silva,102.1,PORTARIAS DE 16 DE JANEIRO DE 2019,18/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=18/01/2019&jornal=529&pagina=33
rhuana mariah mattos ropelatto,102.3,PORTARIAS DE 16 DE JANEIRO DE 2019,18/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=18/01/2019&jornal=529&pagina=33
